Name,Age,Field,Salary,DOJ,Location,Experience
Uma,27,Finance,69000,2021-03-10,Boston,4.6
Victor,42,Engineering,81000,2007-11-22,San Francisco,4.8
Wendy,31,HR,57000,2018-01-15,New York,4.4
Xander,29,Marketing,66000,2020-09-05,Chicago,4.5
Yara,35,Finance,72000,2015-07-30,Boston,4.7
Zane,26,Engineering,73000,2021-06-18,Seattle,4.6
Abby,28,HR,58000,2019-02-25,New York,4.3
Brian,37,Marketing,67000,2014-04-12,Chicago,4.4
Clara,33,Finance,70000,2016-08-19,Boston,4.5
Derek,40,Engineering,82000,2010-11-10,San Francisco,4.9
Ella,30,HR,59000,2020-03-22,New York,4.2
Felix,38,Marketing,68000,2013-05-17,Chicago,4.3
Grace,32,Finance,71000,2017-09-08,Boston,4.6
Hank,45,Engineering,85000,2005-12-01,San Francisco,4.9
Ivy,27,HR,60000,2021-07-14,New York,4.4
Jack,36,Marketing,69000,2012-11-03,Chicago,4.5
Karen,34,Finance,73000,2016-03-25,Boston,4.7
Leo,41,Engineering,86000,2009-06-20,Seattle,4.8
Mona,29,HR,61000,2020-10-10,New York,4.3
Nate,39,Marketing,70000,2013-08-15,Chicago,4.4
